Source,Source City,Source Country,Target,Target City,Target Country,Source Lat,Source Lon,Target Lat,Target Lon,Weight
SOV,Seldovia,USA,KEB,Nanwalek,USA,59.4424,-151.704,59.3521,-151.925,671
HOM,Homer,USA,SOV,Seldovia,USA,59.6456,-151.477,59.4424,-151.704,3005
SOV,Seldovia,USA,HOM,Homer,USA,59.4424,-151.704,59.6456,-151.477,2861
PGM,Port Graham,USA,HOM,Homer,USA,59.3483,-151.832,59.6456,-151.477,144
KEB,Nanwalek,USA,PGM,Port Graham,USA,59.3521,-151.925,59.3483,-151.832,144
AET,Allakaket,USA,AKP,Anaktuvuk Pass,USA,66.5518,-152.622,68.1336,-151.743,36
ANC,Anchorage,USA,GAL,Galena,USA,61.1744,-149.996,64.7362,-156.937,513
ANI,Aniak,USA,SHX,Shageluk,USA,61.5816,-159.543,62.6923,-159.569,429
BTI,Barter Island,USA,FAI,Fairbanks,USA,70.134,-143.582,64.8151,-147.856,513
BTI,Barter Island,USA,SCC,Prudhoe Bay/Deadhorse,USA,70.134,-143.582,70.1947,-148.465,918
FAI,Fairbanks,USA,BTI,Barter Island,USA,64.8151,-147.856,70.134,-143.582,513
ANI,Aniak,USA,RSH,Russian Mission,USA,61.5816,-159.543,61.7789,-161.319,243
ANC,Anchorage,USA,ANI,Aniak,USA,61.1744,-149.996,61.5816,-159.543,2527
ANI,Aniak,USA,ANC,Anchorage,USA,61.5816,-159.543,61.1744,-149.996,2014
ANI,Aniak,USA,HCR,Holy Cross,USA,61.5816,-159.543,62.1883,-159.775,1032
ANI,Aniak,USA,BET,Bethel,USA,61.5816,-159.543,60.7798,-161.838,513
GAL,Galena,USA,ANC,Anchorage,USA,64.7362,-156.937,61.1744,-149.996,513
SHX,Shageluk,USA,ANI,Aniak,USA,62.6923,-159.569,61.5816,-159.543,1032
AET,Allakaket,USA,FAI,Fairbanks,USA,66.5518,-152.622,64.8151,-147.856,408
AIN,Wainwright,USA,BRW,Barrow,USA,70.638,-159.995,71.2854,-156.766,684
ANI,Aniak,USA,KLG,Kalskag,USA,61.5816,-159.543,61.5363,-160.341,1425
FAI,Fairbanks,USA,FYU,Fort Yukon,USA,64.8151,-147.856,66.5715,-145.25,3506
FYU,Fort Yukon,USA,FAI,Fairbanks,USA,66.5715,-145.25,64.8151,-147.856,3638
ANC,Anchorage,USA,DLG,Dillingham,USA,61.1744,-149.996,59.0447,-158.505,8149
DLG,Dillingham,USA,ANC,Anchorage,USA,59.0447,-158.505,61.1744,-149.996,8149
GAL,Galena,USA,KYU,Koyukuk,USA,64.7362,-156.937,64.8761,-157.727,335
KYU,Koyukuk,USA,GAL,Galena,USA,64.8761,-157.727,64.7362,-156.937,675
NUI,Nuiqsut,USA,SCC,Prudhoe Bay/Deadhorse,USA,70.21,-151.006,70.1947,-148.465,918
RBY,Ruby,USA,TAL,Tanana,USA,64.7272,-155.47,65.1744,-152.109,399
SCC,Prudhoe Bay/Deadhorse,USA,NUI,Nuiqsut,USA,70.1947,-148.465,70.21,-151.006,918
TAL,Tanana,USA,RBY,Ruby,USA,65.1744,-152.109,64.7272,-155.47,767
BRW,Barrow,USA,NUI,Nuiqsut,USA,71.2854,-156.766,70.21,-151.006,918
NUI,Nuiqsut,USA,BRW,Barrow,USA,70.21,-151.006,71.2854,-156.766,918
RSH,Russian Mission,USA,KLG,Kalskag,USA,61.7789,-161.319,61.5363,-160.341,243
FAI,Fairbanks,USA,TAL,Tanana,USA,64.8151,-147.856,65.1744,-152.109,1437
SCC,Prudhoe Bay/Deadhorse,USA,BTI,Barter Island,USA,70.1947,-148.465,70.134,-143.582,918
TAL,Tanana,USA,FAI,Fairbanks,USA,65.1744,-152.109,64.8151,-147.856,1693
AIN,Wainwright,USA,PIZ,Point Lay,USA,70.638,-159.995,69.7329,-163.005,405
AKP,Anaktuvuk Pass,USA,FAI,Fairbanks,USA,68.1336,-151.743,64.8151,-147.856,1048
FAI,Fairbanks,USA,AKP,Anaktuvuk Pass,USA,64.8151,-147.856,68.1336,-151.743,728
GAL,Galena,USA,HSL,Huslia,USA,64.7362,-156.937,65.6979,-156.351,753
GAL,Galena,USA,NUL,Nulato,USA,64.7362,-156.937,64.7293,-158.074,1177
HSL,Huslia,USA,GAL,Galena,USA,65.6979,-156.351,64.7362,-156.937,513
KAL,Kaltag,USA,NUL,Nulato,USA,64.3191,-158.741,64.7293,-158.074,1344
AIN,Wainwright,USA,ATK,Atqasuk,USA,70.638,-159.995,70.4673,-157.436,834
ATK,Atqasuk,USA,BRW,Barrow,USA,70.4673,-157.436,71.2854,-156.766,834
PIZ,Point Lay,USA,BRW,Barrow,USA,69.7329,-163.005,71.2854,-156.766,726
KLG,Kalskag,USA,BET,Bethel,USA,61.5363,-160.341,60.7798,-161.838,882
ANV,Anvik,USA,KGX,Grayling,USA,62.6467,-160.191,62.8952,-160.066,1032
HCR,Holy Cross,USA,ANI,Aniak,USA,62.1883,-159.775,61.5816,-159.543,573
KGX,Grayling,USA,ANV,Anvik,USA,62.8952,-160.066,62.6467,-160.191,465
ANC,Anchorage,USA,FAI,Fairbanks,USA,61.1744,-149.996,64.8151,-147.856,43624
FAI,Fairbanks,USA,AET,Allakaket,USA,64.8151,-147.856,66.5518,-152.622,614
FAI,Fairbanks,USA,ANC,Anchorage,USA,64.8151,-147.856,61.1744,-149.996,43624
KGX,Grayling,USA,SHX,Shageluk,USA,62.8952,-160.066,62.6923,-159.569,1032
ANC,Anchorage,USA,BET,Bethel,USA,61.1744,-149.996,60.7798,-161.838,8265
BET,Bethel,USA,ANC,Anchorage,USA,60.7798,-161.838,61.1744,-149.996,8778
BET,Bethel,USA,ANI,Aniak,USA,60.7798,-161.838,61.5816,-159.543,243
FAI,Fairbanks,USA,GAL,Galena,USA,64.8151,-147.856,64.7362,-156.937,1831
GAL,Galena,USA,FAI,Fairbanks,USA,64.7362,-156.937,64.8151,-147.856,1831
GAL,Galena,USA,KAL,Kaltag,USA,64.7362,-156.937,64.3191,-158.741,792
KAL,Kaltag,USA,GAL,Galena,USA,64.3191,-158.741,64.7362,-156.937,832
BRW,Barrow,USA,AIN,Wainwright,USA,71.2854,-156.766,70.638,-159.995,1320
GAL,Galena,USA,RBY,Ruby,USA,64.7362,-156.937,64.7272,-155.47,639
KLG,Kalskag,USA,ANI,Aniak,USA,61.5363,-160.341,61.5816,-159.543,603
KYU,Koyukuk,USA,NUL,Nulato,USA,64.8761,-157.727,64.7293,-158.074,335
NUL,Nulato,USA,KAL,Kaltag,USA,64.7293,-158.074,64.3191,-158.741,1167
NUL,Nulato,USA,KYU,Koyukuk,USA,64.7293,-158.074,64.8761,-157.727,859
ANV,Anvik,USA,HCR,Holy Cross,USA,62.6467,-160.191,62.1883,-159.775,465
HCR,Holy Cross,USA,ANV,Anvik,USA,62.1883,-159.775,62.6467,-160.191,1032
NUL,Nulato,USA,GAL,Galena,USA,64.7293,-158.074,64.7362,-156.937,792
SHX,Shageluk,USA,KGX,Grayling,USA,62.6923,-159.569,62.8952,-160.066,465
RBY,Ruby,USA,GAL,Galena,USA,64.7272,-155.47,64.7362,-156.937,575
ESD,Eastsound,USA,LPS,Lopez Island,USA,48.7082,-122.91,48.4839,-122.938,1488
LPS,Lopez Island,USA,ESD,Eastsound,USA,48.4839,-122.938,48.7082,-122.91,1736
FRD,Friday Harbor,USA,LPS,Lopez Island,USA,48.522,-123.024,48.4839,-122.938,2696
LPS,Lopez Island,USA,FRD,Friday Harbor,USA,48.4839,-122.938,48.522,-123.024,2696
BFI,Seattle,USA,FRD,Friday Harbor,USA,47.53,-122.302,48.522,-123.024,992
FRD,Friday Harbor,USA,BFI,Seattle,USA,48.522,-123.024,47.53,-122.302,992
KTB,Thorne Bay,USA,KTN,Ketchikan,USA,55.688,-132.537,55.3556,-131.714,1634
KTN,Ketchikan,USA,KTB,Thorne Bay,USA,55.3556,-131.714,55.688,-132.537,1790
HYL,Hollis,USA,KLW,Klawock,USA,55.4816,-132.646,55.5792,-133.076,434
KLW,Klawock,USA,HYL,Hollis,USA,55.5792,-133.076,55.4816,-132.646,434
HYL,Hollis,USA,KTN,Ketchikan,USA,55.4816,-132.646,55.3556,-131.714,1634
KTN,Ketchikan,USA,HYL,Hollis,USA,55.3556,-131.714,55.4816,-132.646,1766
CGA,Craig,USA,KLW,Klawock,USA,55.4788,-133.148,55.5792,-133.076,654
KLW,Klawock,USA,CGA,Craig,USA,55.5792,-133.076,55.4788,-133.148,434
KYU,Koyukuk,USA,HSL,Huslia,USA,64.8761,-157.727,65.6979,-156.351,184
RBY,Ruby,USA,KAL,Kaltag,USA,64.7272,-155.47,64.3191,-158.741,368
BTT,Bettles,USA,AKP,Anaktuvuk Pass,USA,66.9139,-151.529,68.1336,-151.743,647
FAI,Fairbanks,USA,LMA,Lake Minchumina,USA,64.8151,-147.856,63.886,-152.302,236
HUS,Hughes,USA,HSL,Huslia,USA,66.0411,-154.263,65.6979,-156.351,463
FAI,Fairbanks,USA,HUS,Hughes,USA,64.8151,-147.856,66.0411,-154.263,661
HSL,Huslia,USA,FAI,Fairbanks,USA,65.6979,-156.351,64.8151,-147.856,647
WBQ,Beaver,USA,VEE,Venetie,USA,66.3622,-147.407,67.0087,-146.366,503
FAI,Fairbanks,USA,BTT,Bettles,USA,64.8151,-147.856,66.9139,-151.529,815
VEE,Venetie,USA,FYU,Fort Yukon,USA,67.0087,-146.366,66.5715,-145.25,616
EAA,Eagle,USA,FAI,Fairbanks,USA,64.7764,-141.151,64.8151,-147.856,400
FAI,Fairbanks,USA,EAA,Eagle,USA,64.8151,-147.856,64.7764,-141.151,400
FAI,Fairbanks,USA,WBQ,Beaver,USA,64.8151,-147.856,66.3622,-147.407,503
LMA,Lake Minchumina,USA,FAI,Fairbanks,USA,63.886,-152.302,64.8151,-147.856,236
FLL,Fort Lauderdale,USA,MIA,Miami,USA,26.0726,-80.1527,25.7932,-80.2906,95
BET,Bethel,USA,HPB,Hooper Bay,USA,60.7798,-161.838,61.5239,-166.147,797
BET,Bethel,USA,WTL,Tuntutuliak,USA,60.7798,-161.838,60.3353,-162.667,1510
GAM,Gambell,USA,WAA,Wales,USA,63.7668,-171.733,65.6226,-168.095,270
WAA,Wales,USA,GAM,Gambell,USA,65.6226,-168.095,63.7668,-171.733,270
BET,Bethel,USA,EEK,Eek,USA,60.7798,-161.838,60.2137,-162.044,652
KPN,Kipnuk,USA,CYF,Chefornak,USA,59.933,-164.031,60.1492,-164.286,802
OME,Nome,USA,SVA,Savoonga,USA,64.5122,-165.445,63.6864,-170.493,1925
SVA,Savoonga,USA,OME,Nome,USA,63.6864,-170.493,64.5122,-165.445,1336
WWT,Newtok,USA,NME,Nightmute,USA,60.9391,-164.641,60.471,-164.701,130
ELI,Elim,USA,OME,Nome,USA,64.6147,-162.272,64.5122,-165.445,1716
OME,Nome,USA,WMO,White Mountain,USA,64.5122,-165.445,64.6892,-163.413,2190
CYF,Chefornak,USA,BET,Bethel,USA,60.1492,-164.286,60.7798,-161.838,802
GNU,Goodnews Bay,USA,PTU,Platinum,USA,59.1174,-161.577,59.0114,-161.82,769
KKH,Kongiganak,USA,KWK,Kwigillingok,USA,59.9608,-162.881,59.8765,-163.169,1267
VAK,Chevak,USA,BET,Bethel,USA,61.5409,-165.6,60.7798,-161.838,1285
WTL,Tuntutuliak,USA,KKH,Kongiganak,USA,60.3353,-162.667,59.9608,-162.881,1267
GAM,Gambell,USA,OME,Nome,USA,63.7668,-171.733,64.5122,-165.445,1325
GAM,Gambell,USA,SVA,Savoonga,USA,63.7668,-171.733,63.6864,-170.493,1050
KWN,Quinhagak,USA,GNU,Goodnews Bay,USA,59.7551,-161.845,59.1174,-161.577,130
SVA,Savoonga,USA,GAM,Gambell,USA,63.6864,-170.493,63.7668,-171.733,1639
WAA,Wales,USA,OME,Nome,USA,65.6226,-168.095,64.5122,-165.445,478
OOK,Toksook Bay,USA,TNK,Tununak,USA,60.5414,-165.087,60.5755,-165.272,1193
HPB,Hooper Bay,USA,SCM,Scammon Bay,USA,61.5239,-166.147,61.8453,-165.571,751
OME,Nome,USA,TLA,Teller,USA,64.5122,-165.445,65.2404,-166.339,1093
TLA,Teller,USA,KTS,Teller Mission,USA,65.2404,-166.339,65.3313,-166.466,1363
TNK,Tununak,USA,BET,Bethel,USA,60.5755,-165.272,60.7798,-161.838,130
NME,Nightmute,USA,OOK,Toksook Bay,USA,60.471,-164.701,60.5414,-165.087,986
OME,Nome,USA,SHH,Shishmaref,USA,64.5122,-165.445,66.2496,-166.089,2133
SCM,Scammon Bay,USA,VAK,Chevak,USA,61.8453,-165.571,61.5409,-165.6,407
SHH,Shishmaref,USA,OME,Nome,USA,66.2496,-166.089,64.5122,-165.445,1818
KWK,Kwigillingok,USA,KPN,Kipnuk,USA,59.8765,-163.169,59.933,-164.031,244
SHH,Shishmaref,USA,WAA,Wales,USA,66.2496,-166.089,65.6226,-168.095,427
WAA,Wales,USA,SHH,Shishmaref,USA,65.6226,-168.095,66.2496,-166.089,522
KTS,Teller Mission,USA,OME,Nome,USA,65.3313,-166.466,64.5122,-165.445,1104
KTS,Teller Mission,USA,SHH,Shishmaref,USA,65.3313,-166.466,66.2496,-166.089,130
KTS,Teller Mission,USA,WMO,White Mountain,USA,65.3313,-166.466,64.6892,-163.413,270
EEK,Eek,USA,KWN,Quinhagak,USA,60.2137,-162.044,59.7551,-161.845,130
DIO,Diomede Island,USA,OME,Nome,USA,65.75,-168.95,64.5122,-165.445,270
OME,Nome,USA,DIO,Diomede Island,USA,64.5122,-165.445,65.75,-168.95,270
BET,Bethel,USA,WWT,Newtok,USA,60.7798,-161.838,60.9391,-164.641,591
GLV,Golovin,USA,ELI,Elim,USA,64.5505,-163.007,64.6147,-162.272,2334
PTU,Platinum,USA,BET,Bethel,USA,59.0114,-161.82,60.7798,-161.838,130
WMO,White Mountain,USA,GLV,Golovin,USA,64.6892,-163.413,64.5505,-163.007,2334
ELI,Elim,USA,TLA,Teller,USA,64.6147,-162.272,65.2404,-166.339,270
MOU,Mountain Village,USA,PQS,Pilot Station,USA,62.0954,-163.682,61.9346,-162.9,456
RDV,Red Devil,USA,CKD,Crooked Creek,USA,61.7881,-157.35,61.8679,-158.135,52
SHG,Shungnak,USA,OBU,Kobuk,USA,66.8881,-157.162,66.9123,-156.897,922
EMK,Emmonak,USA,AUK,Alakanuk,USA,62.7861,-164.491,62.68,-164.66,566
FYU,Fort Yukon,USA,CIK,Chalkyitsik,USA,66.5715,-145.25,66.645,-143.74,331
SLQ,Sleetmute,USA,RDV,Red Devil,USA,61.7005,-157.166,61.7881,-157.35,52
TNK,Tununak,USA,OOK,Toksook Bay,USA,60.5755,-165.272,60.5414,-165.087,1019
KVL,Kivalina,USA,WTK,Noatak,USA,67.7362,-164.563,67.5661,-162.975,538
LMA,Lake Minchumina,USA,MCG,Mcgrath,USA,63.886,-152.302,62.9529,-155.606,32
MCG,Mcgrath,USA,LMA,Lake Minchumina,USA,62.9529,-155.606,63.886,-152.302,32
TCT,Takotna,USA,TLJ,Tatalina,USA,62.9932,-156.029,62.8944,-155.977,52
CIK,Chalkyitsik,USA,ARC,Arctic Village,USA,66.645,-143.74,68.1147,-145.579,52
KLG,Kalskag,USA,RSH,Russian Mission,USA,61.5363,-160.341,61.7789,-161.319,714
OTZ,Kotzebue,USA,KVL,Kivalina,USA,66.8847,-162.599,67.7362,-164.563,529
WTL,Tuntutuliak,USA,BET,Bethel,USA,60.3353,-162.667,60.7798,-161.838,911
SMK,St Michael,USA,WBB,Stebbins,USA,63.4901,-162.11,63.516,-162.278,1088
MLL,Marshall,USA,BET,Bethel,USA,61.8643,-162.026,60.7798,-161.838,516
OBU,Kobuk,USA,OTZ,Kotzebue,USA,66.9123,-156.897,66.8847,-162.599,736
SXP,Sheldon Point,USA,EMK,Emmonak,USA,62.5206,-164.848,62.7861,-164.491,92
BET,Bethel,USA,CYF,Chefornak,USA,60.7798,-161.838,60.1492,-164.286,1286
UNK,Unalakleet,USA,SKK,Shaktoolik,USA,63.8884,-160.799,64.3711,-161.224,1150
ANI,Aniak,USA,SLQ,Sleetmute,USA,61.5816,-159.543,61.7005,-157.166,52
FAI,Fairbanks,USA,MLY,Manley Hot Springs,USA,64.8151,-147.856,64.9976,-150.644,52
KKH,Kongiganak,USA,WTL,Tuntutuliak,USA,59.9608,-162.881,60.3353,-162.667,668
MLY,Manley Hot Springs,USA,MNT,Minto,USA,64.9976,-150.644,65.1437,-149.37,52
ARC,Arctic Village,USA,VEE,Venetie,USA,68.1147,-145.579,67.0087,-146.366,300
ATT,Atmautluak,USA,MLL,Marshall,USA,60.8667,-162.273,61.8643,-162.026,56
OOK,Toksook Bay,USA,NME,Nightmute,USA,60.5414,-165.087,60.471,-164.701,218
PQS,Pilot Station,USA,KSM,St Marys,USA,61.9346,-162.9,62.0605,-163.302,108
BET,Bethel,USA,ATT,Atmautluak,USA,60.7798,-161.838,60.8667,-162.273,168
ABL,Ambler,USA,SHG,Shungnak,USA,67.1063,-157.857,66.8881,-157.162,736
CHU,Chuathbaluk,USA,ANI,Aniak,USA,61.5791,-159.216,61.5816,-159.543,52
KWK,Kwigillingok,USA,KKH,Kongiganak,USA,59.8765,-163.169,59.9608,-162.881,911
MNT,Minto,USA,FAI,Fairbanks,USA,65.1437,-149.37,64.8151,-147.856,52
SCM,Scammon Bay,USA,HPB,Hooper Bay,USA,61.8453,-165.571,61.5239,-166.147,650
KSM,St Marys,USA,MOU,Mountain Village,USA,62.0605,-163.302,62.0954,-163.682,456
OTZ,Kotzebue,USA,IAN,Kiana,USA,66.8847,-162.599,66.976,-160.437,669
HPB,Hooper Bay,USA,VAK,Chevak,USA,61.5239,-166.147,61.5409,-165.6,1226
OTZ,Kotzebue,USA,PHO,Point Hope,USA,66.8847,-162.599,68.3488,-166.799,1140
OTZ,Kotzebue,USA,WLK,Selawik,USA,66.8847,-162.599,66.6001,-159.986,1505
PHO,Point Hope,USA,OTZ,Kotzebue,USA,68.3488,-166.799,66.8847,-162.599,1235
VEE,Venetie,USA,WBQ,Beaver,USA,67.0087,-146.366,66.3622,-147.407,295
BET,Bethel,USA,SCM,Scammon Bay,USA,60.7798,-161.838,61.8453,-165.571,917
BKC,Buckland,USA,DRG,Deering,USA,65.9816,-161.149,66.0696,-162.766,812
CKD,Crooked Creek,USA,CHU,Chuathbaluk,USA,61.8679,-158.135,61.5791,-159.216,52
CYF,Chefornak,USA,KPN,Kipnuk,USA,60.1492,-164.286,59.933,-164.031,764
LVD,Lime Village,USA,MCG,Mcgrath,USA,61.3591,-155.44,62.9529,-155.606,20
MCG,Mcgrath,USA,LVD,Lime Village,USA,62.9529,-155.606,61.3591,-155.44,20
MCG,Mcgrath,USA,TCT,Takotna,USA,62.9529,-155.606,62.9932,-156.029,52
OTZ,Kotzebue,USA,ABL,Ambler,USA,66.8847,-162.599,67.1063,-157.857,632
RSH,Russian Mission,USA,ANI,Aniak,USA,61.7789,-161.319,61.5816,-159.543,714
WBQ,Beaver,USA,FAI,Fairbanks,USA,66.3622,-147.407,64.8151,-147.856,295
WLK,Selawik,USA,BKC,Buckland,USA,66.6001,-159.986,65.9816,-161.149,272
AUK,Alakanuk,USA,SXP,Sheldon Point,USA,62.68,-164.66,62.5206,-164.848,659
EMK,Emmonak,USA,KOT,Kotlik,USA,62.7861,-164.491,63.0306,-163.533,254
KOT,Kotlik,USA,EMK,Emmonak,USA,63.0306,-163.533,62.7861,-164.491,335
KKA,Koyuk,USA,GAL,Galena,USA,64.9395,-161.154,64.7362,-156.937,52
UNK,Unalakleet,USA,SMK,St Michael,USA,63.8884,-160.799,63.4901,-162.11,674
WBB,Stebbins,USA,UNK,Unalakleet,USA,63.516,-162.278,63.8884,-160.799,556
FAI,Fairbanks,USA,RBY,Ruby,USA,64.8151,-147.856,64.7272,-155.47,56
KPN,Kipnuk,USA,KWK,Kwigillingok,USA,59.933,-164.031,59.8765,-163.169,92
RBY,Ruby,USA,FAI,Fairbanks,USA,64.7272,-155.47,64.8151,-147.856,56
WTK,Noatak,USA,OTZ,Kotzebue,USA,67.5661,-162.975,66.8847,-162.599,1164
MCG,Mcgrath,USA,NIB,Nikolai,USA,62.9529,-155.606,63.0186,-154.358,108
NIB,Nikolai,USA,MCG,Mcgrath,USA,63.0186,-154.358,62.9529,-155.606,108
SKK,Shaktoolik,USA,KKA,Koyuk,USA,64.3711,-161.224,64.9395,-161.154,1012
TLJ,Tatalina,USA,MCG,Mcgrath,USA,62.8944,-155.977,62.9529,-155.606,52
AKP,Anaktuvuk Pass,USA,AET,Allakaket,USA,68.1336,-151.743,66.5518,-152.622,56
DRG,Deering,USA,OTZ,Kotzebue,USA,66.0696,-162.766,66.8847,-162.599,812
IAN,Kiana,USA,ORV,Noorvik,USA,66.976,-160.437,66.8179,-161.019,754
KLG,Kalskag,USA,HCR,Holy Cross,USA,61.5363,-160.341,62.1883,-159.775,108
NME,Nightmute,USA,BET,Bethel,USA,60.471,-164.701,60.7798,-161.838,740
ORV,Noorvik,USA,OTZ,Kotzebue,USA,66.8179,-161.019,66.8847,-162.599,1024
WWT,Newtok,USA,TNK,Tununak,USA,60.9391,-164.641,60.5755,-165.272,461
AET,Allakaket,USA,UTO,Utopia Creek,USA,66.5518,-152.622,65.9928,-153.704,45
FAI,Fairbanks,USA,SVS,Stevens Village,USA,64.8151,-147.856,66.0172,-149.055,115
SVS,Stevens Village,USA,FAI,Fairbanks,USA,66.0172,-149.055,64.8151,-147.856,299
CHP,Circle Hot Springs,USA,CEM,Central,USA,65.4855,-144.611,65.5738,-144.783,243
FAI,Fairbanks,USA,RMP,Rampart,USA,64.8151,-147.856,65.5079,-150.141,279
HSL,Huslia,USA,HUS,Hughes,USA,65.6979,-156.351,66.0411,-154.263,243
CEM,Central,USA,IRC,Circle,USA,65.5738,-144.783,65.8305,-144.076,243
FAI,Fairbanks,USA,HSL,Huslia,USA,64.8151,-147.856,65.6979,-156.351,243
HUS,Hughes,USA,FAI,Fairbanks,USA,66.0411,-154.263,64.8151,-147.856,243
AET,Allakaket,USA,BTT,Bettles,USA,66.5518,-152.622,66.9139,-151.529,811
CIK,Chalkyitsik,USA,FYU,Fort Yukon,USA,66.645,-143.74,66.5715,-145.25,463
RMP,Rampart,USA,TAL,Tanana,USA,65.5079,-150.141,65.1744,-152.109,279
ABL,Ambler,USA,OBU,Kobuk,USA,67.1063,-157.857,66.9123,-156.897,279
OBU,Kobuk,USA,FAI,Fairbanks,USA,66.9123,-156.897,64.8151,-147.856,279
HUS,Hughes,USA,AET,Allakaket,USA,66.0411,-154.263,66.5518,-152.622,198
IRC,Circle,USA,FAI,Fairbanks,USA,65.8305,-144.076,64.8151,-147.856,243
BTT,Bettles,USA,FAI,Fairbanks,USA,66.9139,-151.529,64.8151,-147.856,854
FAI,Fairbanks,USA,CHP,Circle Hot Springs,USA,64.8151,-147.856,65.4855,-144.611,243
AKP,Anaktuvuk Pass,USA,BTT,Bettles,USA,68.1336,-151.743,66.9139,-151.529,307
FAI,Fairbanks,USA,VEE,Venetie,USA,64.8151,-147.856,67.0087,-146.366,243
SHG,Shungnak,USA,ABL,Ambler,USA,66.8881,-157.162,67.1063,-157.857,279
UTO,Utopia Creek,USA,FAI,Fairbanks,USA,65.9928,-153.704,64.8151,-147.856,45
FAI,Fairbanks,USA,SHG,Shungnak,USA,64.8151,-147.856,66.8881,-157.162,279
VEE,Venetie,USA,FAI,Fairbanks,USA,67.0087,-146.366,64.8151,-147.856,135
TOG,Togiak,USA,DLG,Dillingham,USA,59.0528,-160.397,59.0447,-158.505,1200
DLG,Dillingham,USA,KMO,Manokotak,USA,59.0447,-158.505,58.9902,-159.05,933
TLA,Teller,USA,OME,Nome,USA,65.2404,-166.339,64.5122,-165.445,603
KMO,Manokotak,USA,TOG,Togiak,USA,58.9902,-159.05,59.0528,-160.397,540
KTS,Teller Mission,USA,TLA,Teller,USA,65.3313,-166.466,65.2404,-166.339,603
SHH,Shishmaref,USA,KTS,Teller Mission,USA,66.2496,-166.089,65.3313,-166.466,540
KEK,Ekwok,USA,KNW,New Stuyahok,USA,59.3568,-157.471,59.4499,-157.328,1305
KGK,Koliganek,USA,DLG,Dillingham,USA,59.7266,-157.259,59.0447,-158.505,1305
KNW,New Stuyahok,USA,KGK,Koliganek,USA,59.4499,-157.328,59.7266,-157.259,1305
DLG,Dillingham,USA,KEK,Ekwok,USA,59.0447,-158.505,59.3568,-157.471,1305
BET,Bethel,USA,KPN,Kipnuk,USA,60.7798,-161.838,59.933,-164.031,948
KPN,Kipnuk,USA,BET,Bethel,USA,59.933,-164.031,60.7798,-161.838,900
MCO,Orlando,USA,PIE,St Petersburg (US),USA,28.4294,-81.309,27.9102,-82.6874,2952
UNK,Unalakleet,USA,WBB,Stebbins,USA,63.8884,-160.799,63.516,-162.278,384
SMK,St Michael,USA,UNK,Unalakleet,USA,63.4901,-162.11,63.8884,-160.799,862
GLV,Golovin,USA,OME,Nome,USA,64.5505,-163.007,64.5122,-165.445,126
OME,Nome,USA,UNK,Unalakleet,USA,64.5122,-165.445,63.8884,-160.799,297
UNK,Unalakleet,USA,OME,Nome,USA,63.8884,-160.799,64.5122,-165.445,567
OME,Nome,USA,KTS,Teller Mission,USA,64.5122,-165.445,65.3313,-166.466,63
ORV,Noorvik,USA,IAN,Kiana,USA,66.8179,-161.019,66.976,-160.437,825
OTZ,Kotzebue,USA,WTK,Noatak,USA,66.8847,-162.599,67.5661,-162.975,1541
WBB,Stebbins,USA,SMK,St Michael,USA,63.516,-162.278,63.4901,-162.11,1042
KKA,Koyuk,USA,OME,Nome,USA,64.9395,-161.154,64.5122,-165.445,1026
OME,Nome,USA,KKA,Koyuk,USA,64.5122,-165.445,64.9395,-161.154,762
BKC,Buckland,USA,OTZ,Kotzebue,USA,65.9816,-161.149,66.8847,-162.599,756
KKA,Koyuk,USA,SKK,Shaktoolik,USA,64.9395,-161.154,64.3711,-161.224,798
OME,Nome,USA,SMK,St Michael,USA,64.5122,-165.445,63.4901,-162.11,414
OTZ,Kotzebue,USA,BKC,Buckland,USA,66.8847,-162.599,65.9816,-161.149,1026
PHO,Point Hope,USA,PIZ,Point Lay,USA,68.3488,-166.799,69.7329,-163.005,321
PIZ,Point Lay,USA,PHO,Point Hope,USA,69.7329,-163.005,68.3488,-166.799,321
SMK,St Michael,USA,OME,Nome,USA,63.4901,-162.11,64.5122,-165.445,180
WAA,Wales,USA,KTS,Teller Mission,USA,65.6226,-168.095,65.3313,-166.466,600
OME,Nome,USA,WAA,Wales,USA,64.5122,-165.445,65.6226,-168.095,948
SKK,Shaktoolik,USA,UNK,Unalakleet,USA,64.3711,-161.224,63.8884,-160.799,810
WLK,Selawik,USA,OTZ,Kotzebue,USA,66.6001,-159.986,66.8847,-162.599,1338
WMO,White Mountain,USA,ELI,Elim,USA,64.6892,-163.413,64.6147,-162.272,126
KKA,Koyuk,USA,UNK,Unalakleet,USA,64.9395,-161.154,63.8884,-160.799,324
UNK,Unalakleet,USA,KKA,Koyuk,USA,63.8884,-160.799,64.9395,-161.154,42
BRW,Barrow,USA,ATK,Atqasuk,USA,71.2854,-156.766,70.4673,-157.436,603
BRW,Barrow,USA,PIZ,Point Lay,USA,71.2854,-156.766,69.7329,-163.005,321
IAN,Kiana,USA,OTZ,Kotzebue,USA,66.976,-160.437,66.8847,-162.599,747
WTK,Noatak,USA,KVL,Kivalina,USA,67.5661,-162.975,67.7362,-164.563,915
ELI,Elim,USA,GLV,Golovin,USA,64.6147,-162.272,64.5505,-163.007,369
KVL,Kivalina,USA,OTZ,Kotzebue,USA,67.7362,-164.563,66.8847,-162.599,811
ATK,Atqasuk,USA,AIN,Wainwright,USA,70.4673,-157.436,70.638,-159.995,603
